epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5013,3.02746,2.37449,3.07051,0.58215,0.55757,0.58714,0.25277,2.1489,1.44648,2.19707,0.000663551,0.000663551,0.000663551
2,109.477,2.13571,1.5314,1.99957,0.81305,0.74354,0.82268,0.42899,1.71477,1.18404,1.67283,0.00131705,0.00131705,0.00131705
3,184.914,1.96447,1.34095,1.78925,0.82847,0.79104,0.84725,0.44484,1.65105,1.15773,1.58243,0.00195735,0.00195735,0.00195735
4,257.814,1.87693,1.24126,1.68794,0.87525,0.82239,0.90805,0.51158,1.53363,0.97893,1.47517,0.0019406,0.0019406,0.0019406
5,381.631,1.81935,1.17002,1.63693,0.88434,0.84654,0.90969,0.48866,1.59772,0.94688,1.49736,0.0019208,0.0019208,0.0019208
6,433.322,1.79222,1.11329,1.60519,0.90215,0.85479,0.93014,0.54041,1.47562,0.8388,1.42136,0.001901,0.001901,0.001901
7,489.573,1.75499,1.06661,1.57282,0.88674,0.83693,0.91534,0.53236,1.49268,0.8494,1.40008,0.0018812,0.0018812,0.0018812
8,537.851,1.73546,1.04174,1.55051,0.91337,0.88327,0.94228,0.56194,1.42323,0.78107,1.36787,0.0018614,0.0018614,0.0018614
9,589.593,1.70872,1.00884,1.52957,0.9105,0.88635,0.94345,0.55847,1.43125,0.79259,1.3646,0.0018416,0.0018416,0.0018416
10,729.45,1.69681,0.99458,1.51661,0.91464,0.88676,0.94717,0.58372,1.38262,0.75466,1.32566,0.0018218,0.0018218,0.0018218
11,818.114,1.67962,0.97242,1.49917,0.92475,0.89226,0.95338,0.5835,1.36356,0.72219,1.32049,0.001802,0.001802,0.001802
12,870.717,1.65548,0.94419,1.48401,0.92236,0.88971,0.95211,0.58499,1.36815,0.71747,1.31107,0.0017822,0.0017822,0.0017822
13,920.101,1.6524,0.93915,1.47683,0.92751,0.88634,0.95107,0.58702,1.37641,0.70904,1.30746,0.0017624,0.0017624,0.0017624
14,968.601,1.64991,0.93153,1.47128,0.92381,0.90146,0.95633,0.59566,1.35116,0.69799,1.29393,0.0017426,0.0017426,0.0017426
15,1080.34,1.63234,0.91376,1.46008,0.92461,0.8989,0.95602,0.59789,1.32454,0.70961,1.28807,0.0017228,0.0017228,0.0017228
16,1137.03,1.62319,0.91106,1.45602,0.90733,0.89493,0.94433,0.56696,1.37601,0.75226,1.30855,0.001703,0.001703,0.001703
17,1185.57,1.61198,0.89312,1.44726,0.92547,0.90204,0.95672,0.59114,1.3571,0.69177,1.29214,0.0016832,0.0016832,0.0016832
